Instance,Time,Evaluations,Iterations,Objective value,Distance to optimum
els19,1.4339478015899658,50484.0,3360.0,22551738.0,31.019172756991004
chr20b,1.0029232501983645,50217.0,2510.0,2732.0,18.88598781549173
chr22a,0.4181315898895264,50002.0,1121.0,6488.0,5.39311241065627
nug25,0.6700952053070068,50299.0,1860.0,3750.0,0.16025641025641027
tai30b,0.3886194229125977,52842.0,1050.0,688946440.0,8.13497643407359
kra30b,0.9692509174346924,50502.0,2520.0,94120.0,2.953401881426384
esc32b,0.4600319862365722,59932.0,840.0,196.0,16.666666666666668
tai50b,0.4259359836578369,54088.0,910.0,507909199.0,10.69864428350251
sko56,0.3068935871124268,51281.0,530.0,37550.0,8.973242788322015
tai60a,0.5365140438079834,51751.0,1250.0,7643410.0,6.070639839621691
sko64,0.32348203659057617,54258.0,660.0,52668.0,8.598292713101571
sko72,0.3248329162597656,50314.0,510.0,73142.0,10.393021009418016
lipa90b,0.4934780597686768,55912.0,940.0,15419229.0,23.44823533452502
sko100d,0.2449290752410889,55252.0,330.0,165392.0,10.573888859175268
sko100c,0.29147982597351074,54221.0,380.0,165538.0,11.954389904099768
sko100e,0.2515571117401123,55747.0,320.0,165862.0,11.204827355011734
sko100a,0.4638533592224121,52990.0,520.0,167478.0,10.181444980987091
sko100b,0.382636308670044,54017.0,340.0,170484.0,10.783026837351354
tho150,0.3834400177001953,53291.0,230.0,9332048.0,14.737382825726714
tai256c,0.6037371158599854,55168.0,170.0,50290874.0,12.3585059228146
