Instance,Time,Evaluations,Iterations,Objective value,Distance to optimum (Avg),Distance to optimum (Best),Local search applications,Greedy solutions,Reemplacements in GADEGD
els19,3.6105948289235434,4427740.133333334,3263.6,17997928.0,4.562834044093878,4.562834044093878,3264.6,3264.6,0.0
chr20b,4.003375665346781,8798496.0,707.3333333333334,2439.5333333333333,6.158978822164199,2.001740644038294,9218.766666666666,708.3333333333334,458.6666666666667
chr22a,4.84493723710378,10963457.3,517.6,6208.733333333334,0.8566168507689015,0.0,8470.8,518.6,329.0
nug25,6.260824346542359,12483405.733333332,355.1,3744.0666666666666,0.001780626780625161,0.0,6814.966666666666,356.1,336.23333333333335
tai30b,9.012087146441141,15560709.333333334,605.8,660741775.1,3.708056433888321,1.399940108028459,5977.766666666666,606.8,580.2
kra30b,9.02075674533844,16489654.566666666,268.8333333333333,91487.0,0.07328812076132138,0.0,6200.733333333334,269.8333333333333,254.13333333333333
esc32b,10.258747307459513,17790258.966666665,303.3333333333333,168.0,0.0,0.0,6958.133333333333,304.3333333333333,289.3333333333333
tai50b,25.133813643455504,27779538.4,89.8,460781088.96666664,0.42708807108247254,0.2554228510604048,2929.0333333333333,90.8,75.8
sko56,31.719110425313314,30726561.466666665,55.666666666666664,34546.4,0.25654419873469575,0.01160833478437518,2334.6666666666665,56.666666666666664,41.666666666666664
tai60a,36.49644520282745,34565300.2,54.56666666666667,7353016.066666666,2.04072775663633,1.1492983171434987,2318.5,55.56666666666667,40.56666666666667
sko64,41.57886531352997,35313017.333333336,43.1,48649.333333333336,0.31204035905261196,0.008247762794342035,1918.6666666666667,44.1,29.1
sko72,52.94692081610362,39038143.93333333,35.56666666666667,66507.53333333334,0.37963857361346914,0.006037189084762135,1607.3666666666666,36.56666666666667,21.566666666666666
lipa90b,83.72899680137634,49315430.93333333,28.9,12662083.633333333,1.3741919387260453,0.0,1334.1,29.9,14.866666666666667
sko100d,106.27954205671946,54559563.93333333,23.266666666666666,150290.13333333333,0.4774384482359011,0.2019040487778788,1005.1666666666666,24.266666666666666,9.266666666666667
sko100c,105.48400920232137,56451909.63333333,23.566666666666666,148385.06666666668,0.3537532744496086,0.17178179654001705,1039.2333333333333,24.566666666666666,9.566666666666666
sko100e,104.70013054211934,55668995.7,23.433333333333334,149867.93333333332,0.4813498714940126,0.1542071739859202,1027.0333333333333,24.433333333333334,9.433333333333334
sko100a,105.77074899673462,53859824.333333336,23.2,152629.0,0.41249457243983634,0.18420810252496678,993.3666666666667,24.2,9.2
sko100b,106.1229482014974,56372351.0,23.5,154569.26666666666,0.4413975350358456,0.14685814542855286,1039.5,24.5,9.5
tho150,254.2598046541214,78191245.43333334,17.066666666666666,8199913.666666667,0.8178090715180417,0.34162843131493137,513.6333333333333,18.066666666666666,3.066666666666667
tai256c,709.5157412528991,101335431.96666667,20.0,44845271.53333333,0.1920886717590571,0.12145410515188197,457.26666666666665,21.0,6.0
